Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
IAF,Aberdeen Australia Equity Fund Inc Common Stock,$6.39,0.00,0.00%,150133887.00,United States,,52924,Finance,Finance/Investors Services
IBIO,iBio Inc. Common Stock,$1.29,0.01,0.781%,281026944.00,United States,,2001579,Health Care,Major Pharmaceuticals
ID,PARTS iD Inc. Class A Common Stock,$7.21,-0.30,-3.995%,239180618.00,United States,2017,67284,Miscellaneous,Diversified Commercial Services
IDW,IDW Media Holdings Class B Common Stock,$3.8983,-0.0317,-0.807%,39179630.00,,2021,37605,Consumer Services,Advertising
IGC,India Globalization Capital Inc. Common Stock,$1.75,-0.01,-0.568%,84572728.00,United States,,1357577,Technology,Engineering & Construction
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$4.99,0.04,0.808%,44194199.00,United States,,31805,Consumer Services,Real Estate Investment Trusts
IMH,Impac Mortgage Holdings Inc. Common Stock ,$1.92,0.26,15.663%,40958753.00,United States,1997,682299,Finance,Finance: Consumer Services
IMO,Imperial Oil Limited Common Stock,$26.77,-0.41,-1.508%,18861561841.00,Canada,,226809,Energy,Integrated oil Companies
INDO,Indonesia Energy Corporation Limited Ordinary Shares,$5.14,0.04,0.784%,38179689.00,,2019,14003,Energy,Oil & Gas Production
INFU,InfuSystems Holdings Inc. Common Stock,$19.94,-0.23,-1.14%,408147812.00,United States,,51018,Health Care,Medical/Dental Instruments
INTT,inTest Corporation Common Stock,$11.64,-0.66,-5.366%,125096605.00,United States,1997,217075,Technology,Semiconductors
INUV,Inuvo Inc.,$0.847,0.0106,1.267%,100383225.00,United States,,1255022,Technology,Advertising
IOR,Income Opportunity Realty Investors Inc. Common Stock,$12.05,-1.2911,-9.678%,50229389.00,United States,,1783,Finance,Diversified Financial Services
ISDR,Issuer Direct Corporation Common Stock,$25.52,-2.13,-7.703%,96107682.00,United States,,31409,Technology,EDP Services
ISR,IsoRay Inc. Common Stock (DE),$0.6907,0.0017,0.247%,97710059.00,United States,,433967,Health Care,Medical/Dental Instruments
ITP,IT Tech Packaging Inc. Common Stock,$0.4238,0.0038,0.905%,41977348.00,China,,2207057,Basic Industries,Paper
ITRG,Integra Resources Corp. Common Shares,$2.82,-0.09,-3.093%,154572722.00,,,78320,,
JOB,GEE Group Inc. Common Stock,$0.4809,0.0119,2.537%,54582369.00,United States,,1542372,Technology,Diversified Commercial Services
KIQ,Kelso Technologies Inc Ordinary Shares,$0.6626,0.0032,0.485%,35959359.00,Canada,,915932,Consumer Durables,Home Furnishings
KLR,Kaleyra Inc. Common Stock,$11.39,1.45,14.588%,356590557.00,United States,2018,588413,Technology,EDP Services
KULR,KULR Technology Group Inc. Common Stock,$2.06,0.02,0.98%,194149232.00,United States,,304082,,
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$2.58,0.03,1.176%,386951875.00,United States,,263736,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
